Materia_Prima,Modelo,MAE,RMSE,MAPE (%)
X,ARIMA,4.722070205108322,5.541000980373369,5.8961955681647815
X,Exp. Smoothing,3.562715965051618,4.11388945733039,4.316485400363345
X,Moving Average,9.456372782138914,10.100598954526964,11.622825472827108
Y,ARIMA,90.6631430693572,96.8171369621984,16.36485540837261
Y,Exp. Smoothing,69.79537886520917,79.25907788820331,12.597295297970042
Y,Moving Average,94.43852471993691,105.66010353094653,17.060071285351658
Z,ARIMA,129.92000950913297,151.97311370491656,5.987511741285136
Z,Exp. Smoothing,59.39162169718872,68.52950680575186,2.7196018027195032
Z,Moving Average,266.3338894061662,308.7628511526373,12.255858481457157
